File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF713MCF	bed narrowPeak	optimal idr thresholded peaks	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF001TDO, ENCFF022XIX, ENCFF240XXW, ENCFF839MCU	1254968	ENCODE Processing Pipeline	2054296572380b63d6dedec1cf356f04		https://www.encodeproject.org/files/ENCFF713MCF/@@download/ENCFF713MCF.bed.gz	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF240XXW	bed narrowPeak	peaks and background as input for IDR	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF200LFK, ENCFF295XEM, ENCFF321UJV, ENCFF689YYU	6667890	ENCODE Processing Pipeline	65283874771ddb453e822654f77af35f		https://www.encodeproject.org/files/ENCFF240XXW/@@download/ENCFF240XXW.bed.gz	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF294LYA	bigBed narrowPeak	peaks and background as input for IDR	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				2							ENCFF022XIX	13784781	ENCODE Processing Pipeline	73d3de2e688a7ab78b262dbdcd8587f3		https://www.encodeproject.org/files/ENCFF294LYA/@@download/ENCFF294LYA.bigBed	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF818TPI	bigWig	fold change over control	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF200LFK, ENCFF295XEM, ENCFF321UJV, ENCFF689YYU	1285039209	ENCODE Processing Pipeline	b0f35b35360d87b4bbbb2f8b9a0df791		https://www.encodeproject.org/files/ENCFF818TPI/@@download/ENCFF818TPI.bigWig	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF839MCU	bed narrowPeak	peaks and background as input for IDR	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1							ENCFF200LFK, ENCFF321UJV, ENCFF689YYU	5980828	ENCODE Processing Pipeline	c861ae9a61a819a72c11b296796dff7a		https://www.encodeproject.org/files/ENCFF839MCU/@@download/ENCFF839MCU.bed.gz	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF388ALA	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF713MCF	2272655	ENCODE Processing Pipeline	8988961c1d2d44ef4b18dcc017632a83		https://www.encodeproject.org/files/ENCFF388ALA/@@download/ENCFF388ALA.bigBed	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF952CYX	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR601OGE	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										HNF4A-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF957ICB	2286608	ENCODE Processing Pipeline	5d79a2f51dd92915ef9715fadc032b1f		https://www.encodeproject.org/files/ENCFF952CYX/@@download/ENCFF952CYX.bigBed	hg19				released	mild to moderate bottlenecking, antibody characterized with exemption	biological replicates with identical biosample		
ENCFF215GBK	fastq	reads	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1	1	50		single-ended				1493293232	Richard Myers, HAIB	d2232567756c2048451152b4265b49a0	SRA:SRR5339369	https://www.encodeproject.org/files/ENCFF215GBK/@@download/ENCFF215GBK.fastq.gz			Illumina HiSeq 2000	/files/ENCFF977SGP/	released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF978CPC	fastq	reads	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2	1	50		single-ended				1180863799	Richard Myers, HAIB	456a301689a6ccee976b010487481eab	SRA:SRR5339368	https://www.encodeproject.org/files/ENCFF978CPC/@@download/ENCFF978CPC.fastq.gz			Illumina HiSeq 2000	/files/ENCFF086CFB/	released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF695SMU	bam	unfiltered alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1			50				ENCFF215GBK, ENCFF643CGH	1653505324	ENCODE Processing Pipeline	7116c9e626a8e9f9ba4e7ed49915e804		https://www.encodeproject.org/files/ENCFF695SMU/@@download/ENCFF695SMU.bam	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF804TUA	bam	unfiltered alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2			50				ENCFF643CGH, ENCFF978CPC	1297974956	ENCODE Processing Pipeline	b5cb2dfcb0498e96197287d236b17863		https://www.encodeproject.org/files/ENCFF804TUA/@@download/ENCFF804TUA.bam	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF641PXS	bam	alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1			50				ENCFF215GBK, ENCFF643CGH	1224715512	ENCODE Processing Pipeline	40d525eb5a980df9b6ec9ead766697e2		https://www.encodeproject.org/files/ENCFF641PXS/@@download/ENCFF641PXS.bam	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF861AOO	bam	alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2			50				ENCFF643CGH, ENCFF978CPC	938148959	ENCODE Processing Pipeline	aad6da83dac2d56ad08a6671ed161c2b		https://www.encodeproject.org/files/ENCFF861AOO/@@download/ENCFF861AOO.bam	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF679FST	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS	838995913	ENCODE Processing Pipeline	00f14070a2d762500168a5b4799f0612		https://www.encodeproject.org/files/ENCFF679FST/@@download/ENCFF679FST.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF938JFI	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF610PNU, ENCFF861AOO	568199722	ENCODE Processing Pipeline	20f149477a261cc2d2424dcf0e91e4d0		https://www.encodeproject.org/files/ENCFF938JFI/@@download/ENCFF938JFI.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF574WZA	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS, ENCFF861AOO	1075621365	ENCODE Processing Pipeline	de3ab223a400111f954b4c8c86e8649b		https://www.encodeproject.org/files/ENCFF574WZA/@@download/ENCFF574WZA.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF224WNN	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF591BNO	13467909	ENCODE Processing Pipeline	d75031460d9d57f819f9ec6e0947be91		https://www.encodeproject.org/files/ENCFF224WNN/@@download/ENCFF224WNN.bigBed	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF329IOJ	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS	887751880	ENCODE Processing Pipeline	86c1dd9379cf2fc6accbfb1a0d13d669		https://www.encodeproject.org/files/ENCFF329IOJ/@@download/ENCFF329IOJ.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF928WPG	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS, ENCFF861AOO	1215730985	ENCODE Processing Pipeline	5ebfc3efd6e0658c9506e23c85c9db73		https://www.encodeproject.org/files/ENCFF928WPG/@@download/ENCFF928WPG.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF488NTO	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF610PNU, ENCFF861AOO	5127385	ENCODE Processing Pipeline	48038210276b3166c0b53d31278481f4		https://www.encodeproject.org/files/ENCFF488NTO/@@download/ENCFF488NTO.bed.gz	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF678BEB	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF610PNU, ENCFF861AOO	511095941	ENCODE Processing Pipeline	e35a5d89b6327c9056cf8dfc1f6359ee		https://www.encodeproject.org/files/ENCFF678BEB/@@download/ENCFF678BEB.bigWig	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF591BNO	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS	6306677	ENCODE Processing Pipeline	6cb3299d8c171dc0610728bdc44c0f72		https://www.encodeproject.org/files/ENCFF591BNO/@@download/ENCFF591BNO.bed.gz	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF054GYB	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF200YPH, ENCFF610PNU, ENCFF641PXS, ENCFF861AOO	6687352	ENCODE Processing Pipeline	472e6111c90b00487ba8324d90061459		https://www.encodeproject.org/files/ENCFF054GYB/@@download/ENCFF054GYB.bed.gz	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF074JOP	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF488NTO	11196226	ENCODE Processing Pipeline	9911b190a67b721f0eab6a489f23aae1		https://www.encodeproject.org/files/ENCFF074JOP/@@download/ENCFF074JOP.bigBed	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF172IAS	bed narrowPeak	conservative idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF054GYB, ENCFF419RSJ, ENCFF488NTO, ENCFF591BNO	580581	ENCODE Processing Pipeline	a85b6b4aa427577e342410fd4e07fefc		https://www.encodeproject.org/files/ENCFF172IAS/@@download/ENCFF172IAS.bed.gz	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF216VCA	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF172IAS	1143372	ENCODE Processing Pipeline	0072f7cf3403a444336a7441b0539ba4		https://www.encodeproject.org/files/ENCFF216VCA/@@download/ENCFF216VCA.bigBed	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF686GZP	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF054GYB	13532168	ENCODE Processing Pipeline	b15d43b89e1caee0943003a2415aaa8a		https://www.encodeproject.org/files/ENCFF686GZP/@@download/ENCFF686GZP.bigBed	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF981HWP	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF229COM	1215765	ENCODE Processing Pipeline	98fd0c397d7bd875f365e6fbac305b5d		https://www.encodeproject.org/files/ENCFF981HWP/@@download/ENCFF981HWP.bigBed	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF229COM	bed narrowPeak	optimal idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF054GYB, ENCFF419RSJ, ENCFF488NTO, ENCFF591BNO	626475	ENCODE Processing Pipeline	703e3b942d2c3355b7e351a8aa9d3e97		https://www.encodeproject.org/files/ENCFF229COM/@@download/ENCFF229COM.bed.gz	GRCh38				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF288WBH	bam	unfiltered alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2			50				ENCFF807MUK, ENCFF978CPC	1291629343	ENCODE Processing Pipeline	412fc780b558b1e74aef29889e5c9394		https://www.encodeproject.org/files/ENCFF288WBH/@@download/ENCFF288WBH.bam	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF515BLD	bam	alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2			50				ENCFF807MUK, ENCFF978CPC	938124002	ENCODE Processing Pipeline	ab880777a49f7aa488583b991faf236c		https://www.encodeproject.org/files/ENCFF515BLD/@@download/ENCFF515BLD.bam	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF263ZVJ	bam	alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1			50				ENCFF215GBK, ENCFF807MUK	1224650875	ENCODE Processing Pipeline	407e3f0980a1a0078c3fab7c41773a33		https://www.encodeproject.org/files/ENCFF263ZVJ/@@download/ENCFF263ZVJ.bam	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF225MVG	bam	unfiltered alignments	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1			50				ENCFF215GBK, ENCFF807MUK	1644725735	ENCODE Processing Pipeline	5c064082d38bedc94155c110ec993f2b		https://www.encodeproject.org/files/ENCFF225MVG/@@download/ENCFF225MVG.bam	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF275BLS	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV	971221336	ENCODE Processing Pipeline	0c5e6996f1d8e1077a33a5231fb78835		https://www.encodeproject.org/files/ENCFF275BLS/@@download/ENCFF275BLS.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF373EUK	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV	6321057	ENCODE Processing Pipeline	b2742acb42d3e4e5a9501075875e1a85		https://www.encodeproject.org/files/ENCFF373EUK/@@download/ENCFF373EUK.bed.gz	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF027ZUW	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV, ENCFF515BLD	988084287	ENCODE Processing Pipeline	0f490c82acd7aaacc305f35af6ae63bc		https://www.encodeproject.org/files/ENCFF027ZUW/@@download/ENCFF027ZUW.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF436DJC	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF321UJV, ENCFF515BLD	5199549	ENCODE Processing Pipeline	8f0a59206a2ac5618bb18337dfae2e7b		https://www.encodeproject.org/files/ENCFF436DJC/@@download/ENCFF436DJC.bed.gz	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF301CFJ	bed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV, ENCFF515BLD	6675053	ENCODE Processing Pipeline	bf988957eb9ee5594bd0a4dca852accb		https://www.encodeproject.org/files/ENCFF301CFJ/@@download/ENCFF301CFJ.bed.gz	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF376OQW	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF301CFJ	13509782	ENCODE Processing Pipeline	3969b55815df3b776083da6dfb2967c3		https://www.encodeproject.org/files/ENCFF376OQW/@@download/ENCFF376OQW.bigBed	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF449HIL	bigWig	signal p-value	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF321UJV, ENCFF515BLD	587657120	ENCODE Processing Pipeline	6f99dba52740639127cfb406634f0837		https://www.encodeproject.org/files/ENCFF449HIL/@@download/ENCFF449HIL.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF108DKL	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV	902748972	ENCODE Processing Pipeline	4a30e3924f793ff36673a165bf1ce042		https://www.encodeproject.org/files/ENCFF108DKL/@@download/ENCFF108DKL.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF090FNP	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1							ENCFF373EUK	13431490	ENCODE Processing Pipeline	1224b09bdd4aa531391cbc88a42cf76e		https://www.encodeproject.org/files/ENCFF090FNP/@@download/ENCFF090FNP.bigBed	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF948RGJ	bigBed narrowPeak	peaks and background as input for IDR	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF436DJC	11197485	ENCODE Processing Pipeline	fd36a07e16bd0034f896eb3c5ba28eda		https://www.encodeproject.org/files/ENCFF948RGJ/@@download/ENCFF948RGJ.bigBed	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF133FXT	bed narrowPeak	conservative idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF001TDO, ENCFF301CFJ, ENCFF373EUK, ENCFF436DJC	576124	ENCODE Processing Pipeline	a294d767729247e006542b00ece7d91a		https://www.encodeproject.org/files/ENCFF133FXT/@@download/ENCFF133FXT.bed.gz	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF413EJE	bigBed narrowPeak	conservative idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF133FXT	1135402	ENCODE Processing Pipeline	bc126a0f60a42c23b71efe4afc8d8027		https://www.encodeproject.org/files/ENCFF413EJE/@@download/ENCFF413EJE.bigBed	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF804UDG	bed narrowPeak	optimal idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF001TDO, ENCFF301CFJ, ENCFF373EUK, ENCFF436DJC	621826	ENCODE Processing Pipeline	4831345a4a86188eac653f2ee5b01725		https://www.encodeproject.org/files/ENCFF804UDG/@@download/ENCFF804UDG.bed.gz	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF039IEL	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF804UDG	1205263	ENCODE Processing Pipeline	b448fbd339acacb7f1c091ec40ee21f8		https://www.encodeproject.org/files/ENCFF039IEL/@@download/ENCFF039IEL.bigBed	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF031TMJ	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				2							ENCFF321UJV, ENCFF515BLD	505233917	ENCODE Processing Pipeline	86c5f22dbfb0ba8282d830e1d9fad161		https://www.encodeproject.org/files/ENCFF031TMJ/@@download/ENCFF031TMJ.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF303OKE	bigWig	fold change over control	ENCSR837GTK	ChIP-seq	UBERON:0002107	liver	tissue	Homo sapiens										JUND-human	DNA					False	2016-06-30	ENCODE				1, 2							ENCFF235CCD, ENCFF263ZVJ, ENCFF321UJV, ENCFF515BLD	1207838945	ENCODE Processing Pipeline	5e2621bdc4397605a401580e7c9928c4		https://www.encodeproject.org/files/ENCFF303OKE/@@download/ENCFF303OKE.bigWig	hg19				released	antibody characterized with exemption	biological replicates with identical biosample		
ENCFF031QUD	fastq	reads	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1	1	100		paired-ended	1	ENCFF794JCH		5206258990	Michael Snyder, Stanford	b06e431491e15bc8e1357cae120822bd	SRA:SRR6213083	https://www.encodeproject.org/files/ENCFF031QUD/@@download/ENCFF031QUD.fastq.gz			Illumina HiSeq 4000	/files/ENCFF319YKD/	released	antibody characterized with exemption			
ENCFF794JCH	fastq	reads	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1	1	100		paired-ended	2	ENCFF031QUD		5729035983	Michael Snyder, Stanford	5978588057ad2401438b591927584654	SRA:SRR6213083	https://www.encodeproject.org/files/ENCFF794JCH/@@download/ENCFF794JCH.fastq.gz			Illumina HiSeq 4000	/files/ENCFF687OGN/	released	antibody characterized with exemption			
ENCFF552RYZ	bam	unfiltered alignments	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1			100				ENCFF031QUD, ENCFF794JCH, ENCFF807MUK	10106578309	ENCODE Processing Pipeline	40f918005cb12a1566f26a3522fca276		https://www.encodeproject.org/files/ENCFF552RYZ/@@download/ENCFF552RYZ.bam	hg19				released	antibody characterized with exemption			
ENCFF451OJW	bam	unfiltered alignments	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1			100				ENCFF031QUD, ENCFF643CGH, ENCFF794JCH	10117140349	ENCODE Processing Pipeline	ce499f33e53dc7bec7ee61e1f12e6677		https://www.encodeproject.org/files/ENCFF451OJW/@@download/ENCFF451OJW.bam	GRCh38				released	antibody characterized with exemption			
ENCFF260NKL	bam	alignments	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1			100				ENCFF031QUD, ENCFF643CGH, ENCFF794JCH	7682451959	ENCODE Processing Pipeline	daed02cb159a94bc96aba5b3e117b32c		https://www.encodeproject.org/files/ENCFF260NKL/@@download/ENCFF260NKL.bam	GRCh38				released	antibody characterized with exemption			
ENCFF847NEY	bam	alignments	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1			100				ENCFF031QUD, ENCFF794JCH, ENCFF807MUK	7669043910	ENCODE Processing Pipeline	805d7dc5af36a57724182698770cf3d3		https://www.encodeproject.org/files/ENCFF847NEY/@@download/ENCFF847NEY.bam	hg19				released	antibody characterized with exemption			
ENCFF596SLF	bigWig	signal p-value	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF473HRH, ENCFF847NEY	1632148686	ENCODE Processing Pipeline	763e86fcdc39b0402f8143001fc81073		https://www.encodeproject.org/files/ENCFF596SLF/@@download/ENCFF596SLF.bigWig	hg19				released	antibody characterized with exemption			
ENCFF730BBV	bigBed narrowPeak	peaks and background as input for IDR	ENCSR307PFP	ChIP-seq	UBERON:0001150	body of pancreas	tissue	Homo sapiens										CTCF-human	DNA					False	2016-11-07	ENCODE				1							ENCFF571KJQ	13967323	ENCODE Processing Pipeline	62c89dfa0e8ac56fde725e737a6aabbf		https://www.encodeproject.org/files/ENCFF730BBV/@@download/ENCFF730BBV.bigBed	hg19				released	antibody characterized with exemption			
