File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF007MPG	bed narrowPeak	peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF222IOW, ENCFF305KDB	1041580	ENCODE Processing Pipeline	c34fca12613af79aa876e9fa56548773		https://www.encodeproject.org/files/ENCFF007MPG/@@download/ENCFF007MPG.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/9cf06ebd-7bcd-4494-a6f8-2dc800edc0db/ENCFF007MPG.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF572LCU	bed narrowPeak	peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF222IOW, ENCFF305KDB, ENCFF404OEM	1041033	ENCODE Processing Pipeline	4241d31f6d2737c5d5feed7ca91b2b18		https://www.encodeproject.org/files/ENCFF572LCU/@@download/ENCFF572LCU.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/afef544e-fedd-4f7b-b80e-05688fe2cd51/ENCFF572LCU.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF827NFH	bed narrowPeak	replicated peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF007MPG, ENCFF572LCU, ENCFF574GUA	1197938	ENCODE Processing Pipeline	2857bbb3825d5f8dbbf3e2d2386aea05		https://www.encodeproject.org/files/ENCFF827NFH/@@download/ENCFF827NFH.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/19592772-0d25-4818-aeee-d6055baa3c43/ENCFF827NFH.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF301VXY	bed narrowPeak	peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF170CQY, ENCFF687UPN	1052782	ENCODE Processing Pipeline	aaef02c717a47fc990d1aa42e25ec7a4		https://www.encodeproject.org/files/ENCFF301VXY/@@download/ENCFF301VXY.bed.gz	hg19				released	s3://encode-public/2016/11/03/91c1367d-3db8-44c8-9e91-293d0e3aaf7a/ENCFF301VXY.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF239QIH	bed narrowPeak	peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF518TFW, ENCFF687UPN	996529	ENCODE Processing Pipeline	ffca7983fd409eacaeab16bb7ffa3286		https://www.encodeproject.org/files/ENCFF239QIH/@@download/ENCFF239QIH.bed.gz	hg19				released	s3://encode-public/2016/11/03/015f3cda-5a83-483b-996f-34415ea1d326/ENCFF239QIH.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF105FFS	bed narrowPeak	peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF170CQY, ENCFF518TFW, ENCFF687UPN	1039341	ENCODE Processing Pipeline	f311fdec30d4804978755e481b9e224d		https://www.encodeproject.org/files/ENCFF105FFS/@@download/ENCFF105FFS.bed.gz	hg19				released	s3://encode-public/2016/11/03/34ac31c4-620e-4523-a4ca-9e3ce15252b4/ENCFF105FFS.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF518WBH	bed narrowPeak	replicated peaks	ENCSR508UPW	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF105FFS, ENCFF239QIH, ENCFF301VXY	1186053	ENCODE Processing Pipeline	75063c3e87e8f1be7785ddd2047be179		https://www.encodeproject.org/files/ENCFF518WBH/@@download/ENCFF518WBH.bed.gz	hg19				released	s3://encode-public/2016/11/03/37cbf78c-d435-4663-990f-952db6490172/ENCFF518WBH.bed.gz	mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF128BLQ	bed narrowPeak	peaks	ENCSR420IOA	ChIP-seq	UBERON:0000305	amnion	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF389HPZ, ENCFF586DCJ	629644	Anshul Kundaje, Stanford	ef1056fe644145021671c728d2d72d3a		https://www.encodeproject.org/files/ENCFF128BLQ/@@download/ENCFF128BLQ.bed.gz	hg19				archived	s3://encode-public/2016/03/09/52aa8d25-d126-4223-9e3c-39142040ac32/ENCFF128BLQ.bed.gz				
ENCFF464NKB	bed narrowPeak	peaks	ENCSR420IOA	ChIP-seq	UBERON:0000305	amnion	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF454LRX, ENCFF889BNV	688577	ENCODE Processing Pipeline	b48b91eb96ee6029e8e1f153f0bcce43		https://www.encodeproject.org/files/ENCFF464NKB/@@download/ENCFF464NKB.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/a5ec32f1-c494-45b4-8f7e-68c8f54ee88e/ENCFF464NKB.bed.gz				
ENCFF006KVW	bed narrowPeak	stable peaks	ENCSR420IOA	ChIP-seq	UBERON:0000305	amnion	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF464NKB	422101	ENCODE Processing Pipeline	1a00a0f425f10e28e9b9e1f6b92b7d0f		https://www.encodeproject.org/files/ENCFF006KVW/@@download/ENCFF006KVW.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/bb9d621c-08ed-44da-ac17-f7c1e567741a/ENCFF006KVW.bed.gz				
ENCFF525HAY	bed narrowPeak	peaks	ENCSR420IOA	ChIP-seq	UBERON:0000305	amnion	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF212MWU, ENCFF256TZM	660972	ENCODE Processing Pipeline	a6d68e9327fecdcac0b39d543cf61574		https://www.encodeproject.org/files/ENCFF525HAY/@@download/ENCFF525HAY.bed.gz	hg19				released	s3://encode-public/2018/01/21/4cb578de-01d2-421d-88a0-dd777b3846c5/ENCFF525HAY.bed.gz				
ENCFF831NRO	bed narrowPeak	stable peaks	ENCSR420IOA	ChIP-seq	UBERON:0000305	amnion	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF525HAY	425987	ENCODE Processing Pipeline	be3f7e0081406fa981ce62d0febb9e44		https://www.encodeproject.org/files/ENCFF831NRO/@@download/ENCFF831NRO.bed.gz	hg19				released	s3://encode-public/2018/01/21/2ef2f40d-28fd-4e78-bc33-0d05338c57ec/ENCFF831NRO.bed.gz				
ENCFF057QAF	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF258LZY, ENCFF804LDQ, ENCFF911BVA	789274	ENCODE Processing Pipeline	8d98ba30e1fa1ae657b0da752644538f		https://www.encodeproject.org/files/ENCFF057QAF/@@download/ENCFF057QAF.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/3ed85884-6c8d-4c0f-bf5b-f77fe31a0adf/ENCFF057QAF.bed.gz	mild to moderate bottlenecking			
ENCFF428JPJ	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				2							ENCFF258LZY, ENCFF727CAJ, ENCFF804LDQ	716160	ENCODE Processing Pipeline	3f983488463ab94e2f204b3154c8bb9a		https://www.encodeproject.org/files/ENCFF428JPJ/@@download/ENCFF428JPJ.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/7ca76b50-dcae-44d9-98a6-99ddd8bdeab8/ENCFF428JPJ.bed.gz	mild to moderate bottlenecking			
ENCFF297ZIH	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1, 2							ENCFF258LZY, ENCFF727CAJ, ENCFF804LDQ, ENCFF911BVA	678551	ENCODE Processing Pipeline	b14ee21e3dd969e547cc96659509e9b2		https://www.encodeproject.org/files/ENCFF297ZIH/@@download/ENCFF297ZIH.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/fbd1f475-d79b-45e3-a890-ce7143146ed2/ENCFF297ZIH.bed.gz	mild to moderate bottlenecking			
ENCFF354PJA	bed narrowPeak	replicated peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1, 2							ENCFF057QAF, ENCFF297ZIH, ENCFF428JPJ	794030	ENCODE Processing Pipeline	b20726a816b497ac9746278823c69d17		https://www.encodeproject.org/files/ENCFF354PJA/@@download/ENCFF354PJA.bed.gz	GRCh38				released	s3://encode-public/2017/11/28/21baa69e-7e1c-4d53-a16f-ddae0f9e7800/ENCFF354PJA.bed.gz	mild to moderate bottlenecking			
ENCFF442WNS	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				2							ENCFF152QOJ, ENCFF874DXU, ENCFF923SEC	722012	ENCODE Processing Pipeline	ec6ff7963b0929d54852d146d84db06e		https://www.encodeproject.org/files/ENCFF442WNS/@@download/ENCFF442WNS.bed.gz	hg19				released	s3://encode-public/2018/01/21/36a4f572-1850-4299-8a95-9bb2956ae4c2/ENCFF442WNS.bed.gz	mild to moderate bottlenecking			
ENCFF483PRQ	bed narrowPeak	replicated peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1, 2							ENCFF290TTE, ENCFF385DTB, ENCFF442WNS	787642	ENCODE Processing Pipeline	dea6312675c3e751c51fefd9f01f5700		https://www.encodeproject.org/files/ENCFF483PRQ/@@download/ENCFF483PRQ.bed.gz	hg19				released	s3://encode-public/2018/01/21/a657c330-dda9-4eff-a4db-6fb8e11d5398/ENCFF483PRQ.bed.gz	mild to moderate bottlenecking			
ENCFF290TTE	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1, 2							ENCFF146SYX, ENCFF152QOJ, ENCFF874DXU, ENCFF923SEC	636563	ENCODE Processing Pipeline	2078e06bf4516cfedc8ddcf084ca3c3a		https://www.encodeproject.org/files/ENCFF290TTE/@@download/ENCFF290TTE.bed.gz	hg19				released	s3://encode-public/2018/01/21/2e7bc244-8945-4cb2-906b-4ec4a01af182/ENCFF290TTE.bed.gz	mild to moderate bottlenecking			
ENCFF385DTB	bed narrowPeak	peaks	ENCSR780FXX	ChIP-seq	UBERON:0000955	brain	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF146SYX, ENCFF874DXU, ENCFF923SEC	796105	ENCODE Processing Pipeline	ca91b6dbd3d9498ca0195acab75b0d4b		https://www.encodeproject.org/files/ENCFF385DTB/@@download/ENCFF385DTB.bed.gz	hg19				released	s3://encode-public/2018/01/21/54c9113e-34fb-414e-af91-672a9ee17fa4/ENCFF385DTB.bed.gz	mild to moderate bottlenecking			
ENCFF956SUM	bed narrowPeak	peaks	ENCSR377KDN	ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF196UFM, ENCFF835OKR	790656	ENCODE Processing Pipeline	fc6a0679700357186a652e2067342acc		https://www.encodeproject.org/files/ENCFF956SUM/@@download/ENCFF956SUM.bed.gz	hg19				released	s3://encode-public/2017/03/21/f1f44b16-fe9d-4e86-8186-bcceb720d04c/ENCFF956SUM.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF765AVB	bed narrowPeak	stable peaks	ENCSR377KDN	ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF956SUM	626520	ENCODE Processing Pipeline	3b6051895637874a6b15b39fcb48e5bd		https://www.encodeproject.org/files/ENCFF765AVB/@@download/ENCFF765AVB.bed.gz	hg19				released	s3://encode-public/2017/03/21/f39b35ca-3279-4c80-abeb-2f738942d580/ENCFF765AVB.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF609BGA	bed narrowPeak	peaks	ENCSR377KDN	ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF108XIF, ENCFF676AXV	793000	ENCODE Processing Pipeline	64bfad21c3ed488aba6e205ba4e3e608		https://www.encodeproject.org/files/ENCFF609BGA/@@download/ENCFF609BGA.bed.gz	GRCh38				released	s3://encode-public/2017/03/21/6940dab9-b7fe-4581-a9bd-33b21f5e3513/ENCFF609BGA.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF866LXE	bed narrowPeak	stable peaks	ENCSR377KDN	ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF609BGA	629029	ENCODE Processing Pipeline	079e5185c42c96979c74c364ba8a316d		https://www.encodeproject.org/files/ENCFF866LXE/@@download/ENCFF866LXE.bed.gz	GRCh38				released	s3://encode-public/2017/03/21/854c9f87-82c5-4d05-a15d-a80728073940/ENCFF866LXE.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF125JHW	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF823LEI, ENCFF842EPE	897905	ENCODE Processing Pipeline	f6eecc7d67b265a38b5df76776bbbde9		https://www.encodeproject.org/files/ENCFF125JHW/@@download/ENCFF125JHW.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/9232ca8e-2bc0-403b-9a1c-9a6ce91c696f/ENCFF125JHW.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF829QNV	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF188KCU, ENCFF823LEI	1134942	ENCODE Processing Pipeline	10eccce3ceab62c3c08cd5143ab09cc6		https://www.encodeproject.org/files/ENCFF829QNV/@@download/ENCFF829QNV.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/d4659281-f0fe-43e7-b258-5c329798f69e/ENCFF829QNV.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF228VKE	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF188KCU, ENCFF823LEI, ENCFF842EPE	857989	ENCODE Processing Pipeline	3a2a77297458d74f168083f268b0aa6f		https://www.encodeproject.org/files/ENCFF228VKE/@@download/ENCFF228VKE.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/82cedcaf-e6e0-4a61-91b4-2a939d73515f/ENCFF228VKE.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF636VXP	bed narrowPeak	replicated peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF125JHW, ENCFF228VKE, ENCFF829QNV	1023639	ENCODE Processing Pipeline	c5a214849f80c88c4d5f7ab2dca2f44d		https://www.encodeproject.org/files/ENCFF636VXP/@@download/ENCFF636VXP.bed.gz	GRCh38				released	s3://encode-public/2016/11/01/1a051fa9-84f0-4aff-b1a9-41d978eae7a3/ENCFF636VXP.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF321YIO	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1							ENCFF058AEQ, ENCFF534JPQ	1127632	ENCODE Processing Pipeline	705accf20af30faf52e4e9c99feb096e		https://www.encodeproject.org/files/ENCFF321YIO/@@download/ENCFF321YIO.bed.gz	hg19				released	s3://encode-public/2016/11/03/0cc145c8-1218-4ca5-b0d8-a3bbc24958a4/ENCFF321YIO.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF431YIS	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				2							ENCFF534JPQ, ENCFF566UVE	905306	ENCODE Processing Pipeline	905e7a7f53f3b8a732feeccaddb02963		https://www.encodeproject.org/files/ENCFF431YIS/@@download/ENCFF431YIS.bed.gz	hg19				released	s3://encode-public/2016/11/03/8898893a-8ed0-48e0-b2c7-e32d22851934/ENCFF431YIS.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF897HZY	bed narrowPeak	peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF058AEQ, ENCFF534JPQ, ENCFF566UVE	857500	ENCODE Processing Pipeline	a0e366bde8258201994385d7cf36532d		https://www.encodeproject.org/files/ENCFF897HZY/@@download/ENCFF897HZY.bed.gz	hg19				released	s3://encode-public/2016/11/03/c00d7e05-c784-4914-88c1-0bce8da1f3e0/ENCFF897HZY.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF250OOO	bed narrowPeak	replicated peaks	ENCSR344TLI	ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens										H3K4me3-human	DNA					False	2016-11-02	ENCODE				1, 2							ENCFF321YIO, ENCFF431YIS, ENCFF897HZY	946885	ENCODE Processing Pipeline	a8a768fea8ec2b7ecd6a0ce6a32ec642		https://www.encodeproject.org/files/ENCFF250OOO/@@download/ENCFF250OOO.bed.gz	hg19				released	s3://encode-public/2016/11/03/a824b07f-9811-4b2a-9de6-d9f9b1df84e4/ENCFF250OOO.bed.gz	mild to moderate bottlenecking, low read depth	biological replicates with identical biosample		
ENCFF799GAB	bed narrowPeak	peaks	ENCSR548LZS	ChIP-seq	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap											ENCFF134HYF, ENCFF524BXK	802088	Anshul Kundaje, Stanford	1ac2db4bce7d2e24fbd3cd473e58c062		https://www.encodeproject.org/files/ENCFF799GAB/@@download/ENCFF799GAB.bed.gz	hg19				archived	s3://encode-public/2016/03/09/f4b27626-14fe-4078-a5ab-5133acaa814d/ENCFF799GAB.bed.gz	low read length, control low read depth			
ENCFF976DLO	bed narrowPeak	stable peaks	ENCSR548LZS	ChIP-seq	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF506PIO	855838	ENCODE Processing Pipeline	cf0243d8ae29c0c2aaeceda7a6231b88		https://www.encodeproject.org/files/ENCFF976DLO/@@download/ENCFF976DLO.bed.gz	GRCh38				released	s3://encode-public/2017/05/09/3a6c437c-b661-433b-b89a-4735a6495203/ENCFF976DLO.bed.gz	low read length, control low read depth			
ENCFF274OMV	bed narrowPeak	peaks	ENCSR548LZS	ChIP-seq	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF881WAT, ENCFF896AXY	766776	ENCODE Processing Pipeline	66ee0ba57df2e6bde470a54182c93be8		https://www.encodeproject.org/files/ENCFF274OMV/@@download/ENCFF274OMV.bed.gz	hg19				released	s3://encode-public/2017/05/09/e9091e18-1651-4f0a-9f62-c3110af59aa3/ENCFF274OMV.bed.gz	low read length, control low read depth			
ENCFF506PIO	bed narrowPeak	peaks	ENCSR548LZS	ChIP-seq	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF301ZNZ, ENCFF471EKC	761267	ENCODE Processing Pipeline	d615ad07d397d54a494908b8a596d3cf		https://www.encodeproject.org/files/ENCFF506PIO/@@download/ENCFF506PIO.bed.gz	GRCh38				released	s3://encode-public/2017/05/09/fe9f7cf2-4c49-4e8a-a0d9-4b53a4662007/ENCFF506PIO.bed.gz	low read length, control low read depth			
ENCFF403WAJ	bed narrowPeak	stable peaks	ENCSR548LZS	ChIP-seq	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF274OMV	858700	ENCODE Processing Pipeline	8001f32f9f9b4e6013928ea20c1e4e97		https://www.encodeproject.org/files/ENCFF403WAJ/@@download/ENCFF403WAJ.bed.gz	hg19				released	s3://encode-public/2017/05/09/1ad40bcc-610c-4db9-9368-9b3fae962f23/ENCFF403WAJ.bed.gz	low read length, control low read depth			
ENCFF603MPP	bed narrowPeak	peaks	ENCSR432KIH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF025MZY, ENCFF250YPP	2895421	Anshul Kundaje, Stanford	bed493d6281021d52b6944647cc261e8		https://www.encodeproject.org/files/ENCFF603MPP/@@download/ENCFF603MPP.bed.gz	hg19				archived	s3://encode-public/2016/03/09/d8572286-1271-4c39-bbc3-e2e514aafeb7/ENCFF603MPP.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF811HDG	bed narrowPeak	peaks	ENCSR432KIH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF127UOV, ENCFF165BBY	3182654	ENCODE Processing Pipeline	88b19e36ed1bf93952ffd8b94c2f3a08		https://www.encodeproject.org/files/ENCFF811HDG/@@download/ENCFF811HDG.bed.gz	hg19				released	s3://encode-public/2017/04/05/0aa64275-b107-4ff5-b4f5-ba09553dd193/ENCFF811HDG.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF031BVJ	bed narrowPeak	peaks	ENCSR432KIH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF346MPS, ENCFF969DRM	3289186	ENCODE Processing Pipeline	e03edc04d15f1680b5a163a858995404		https://www.encodeproject.org/files/ENCFF031BVJ/@@download/ENCFF031BVJ.bed.gz	GRCh38				released	s3://encode-public/2017/04/05/80cb98e7-9c9e-40bc-bfe1-3f1758f23003/ENCFF031BVJ.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF076SMI	bed narrowPeak	stable peaks	ENCSR432KIH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF811HDG	864156	ENCODE Processing Pipeline	1d42ddb1fe214472bfd7424b4b578bcc		https://www.encodeproject.org/files/ENCFF076SMI/@@download/ENCFF076SMI.bed.gz	hg19				released	s3://encode-public/2017/04/05/a39cc237-c9c8-4e73-b7e1-09b3f2d008a7/ENCFF076SMI.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF590BSY	bed narrowPeak	stable peaks	ENCSR432KIH	ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF031BVJ	900139	ENCODE Processing Pipeline	cc9ecb08a157dc3f8f35f68db9528592		https://www.encodeproject.org/files/ENCFF590BSY/@@download/ENCFF590BSY.bed.gz	GRCh38				released	s3://encode-public/2017/04/05/757bcd09-e73b-493b-ae9b-5eb284211dee/ENCFF590BSY.bed.gz	moderate library complexity, mild to moderate bottlenecking, low read length, low read depth			
ENCFF737DUO	bed narrowPeak	peaks	ENCSR168PQI	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF070ECZ, ENCFF558JBV	1144123	ENCODE Processing Pipeline	c7f25fc0595e1acd53ab6be5551bd5c1		https://www.encodeproject.org/files/ENCFF737DUO/@@download/ENCFF737DUO.bed.gz	hg19				released	s3://encode-public/2018/01/19/666f2659-07d1-40b4-9343-5df080b9adc9/ENCFF737DUO.bed.gz	low read length			
ENCFF786FSP	bed narrowPeak	peaks	ENCSR168PQI	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF009GEE, ENCFF946QOM	1133737	ENCODE Processing Pipeline	f8fbefc9f7c83bae2e4a719b67ba18a9		https://www.encodeproject.org/files/ENCFF786FSP/@@download/ENCFF786FSP.bed.gz	GRCh38				released	s3://encode-public/2018/01/19/a1106e88-16d1-445b-a090-8a5db2521681/ENCFF786FSP.bed.gz	low read length			
ENCFF081WWW	bed narrowPeak	stable peaks	ENCSR168PQI	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF786FSP	1055696	ENCODE Processing Pipeline	1621ea763d1770312758e8cfbfeaf4c0		https://www.encodeproject.org/files/ENCFF081WWW/@@download/ENCFF081WWW.bed.gz	GRCh38				released	s3://encode-public/2018/01/19/1ffa142d-3229-4a2f-85fb-2fec656100aa/ENCFF081WWW.bed.gz	low read length			
ENCFF127EBG	bed narrowPeak	stable peaks	ENCSR168PQI	ChIP-seq	UBERON:0004222	stomach smooth muscle	tissue	Homo sapiens										H3K4me3-human	DNA		see document			False	2013-07-31	Roadmap				1							ENCFF737DUO	1055965	ENCODE Processing Pipeline	64e2373f40d9f71944d9f5a5d9bfc918		https://www.encodeproject.org/files/ENCFF127EBG/@@download/ENCFF127EBG.bed.gz	hg19				released	s3://encode-public/2018/01/19/8a1b37d4-c564-4699-8f8c-5ddcb670ef78/ENCFF127EBG.bed.gz	low read length			
